商品名稱,新商品名稱,大分類,小分類,
(必點)極品十貫壽司,(必點)極品十貫壽司-,1壽司刺身,手卷/壽司（菜單）,
(推薦)炙燒比目魚鰭邊握壽司/2貫,(推薦)炙燒比目魚鰭邊握壽司/2貫-,1壽司刺身,手卷/壽司（菜單）,
(推薦)炙燒比目魚鰭邊握壽司/2貫*,(推薦)炙燒比目魚鰭邊握壽司/2貫-,1壽司刺身,手卷/壽司（菜單）,
(推薦)炙燒焦糖鮭魚握壽司/2貫,(推薦)炙燒焦糖鮭魚握壽司/2貫-,1壽司刺身,手卷/壽司（菜單）,
九州青干/貫,九州青干/貫-,1壽司刺身,手卷/壽司（菜單）,
九州青干握壽司/2貫,九州青干握壽司/2貫-,1壽司刺身,手卷/壽司（菜單）,
干貝蟹膏握壽司,干貝蟹膏握壽司-,1壽司刺身,手卷/壽司（菜單）,
天使蝦/隻,天使蝦/隻-,1壽司刺身,手卷/壽司（菜單）,
手卷(招待),手卷(招待)-,1壽司刺身,手卷/壽司（菜單）,
比目魚握壽司/貫,比目魚握壽司/貫-,1壽司刺身,手卷/壽司（菜單）,
北海道干貝/貫,北海道干貝/貫-,1壽司刺身,手卷/壽司（菜單）,
北海道海膽,北海道海膽/貫-,1壽司刺身,手卷/壽司（菜單）,
北海道海膽/貫,北海道海膽/貫-,1壽司刺身,手卷/壽司（菜單）,
北海道海膽手卷,北海道海膽手卷-,1壽司刺身,手卷/壽司（菜單）,
北海道海膽手卷/支,北海道海膽手卷-,1壽司刺身,手卷/壽司（菜單）,
本港紅甘/貫,本港紅甘/貫-,1壽司刺身,手卷/壽司（菜單）,
本港紅甘握壽司/2貫,本港紅甘握壽司/2貫-,1壽司刺身,手卷/壽司（菜單）,
本港紅甘握壽司/2貫*,本港紅甘握壽司/2貫-,1壽司刺身,手卷/壽司（菜單）,
生魚片蛋糕,生魚片蛋糕-,1壽司刺身,手卷/壽司（菜單）,
松葉蟹握壽司,松葉蟹握壽司-,1壽司刺身,手卷/壽司（菜單）,
炙比目魚握壽司/貫,炙比目魚握壽司/貫-,1壽司刺身,手卷/壽司（菜單）,
炙焦糖鮭魚握壽司/貫,炙焦糖鮭魚握壽司/貫-,1壽司刺身,手卷/壽司（菜單）,
炙燒比目魚緣側/貫,炙燒比目魚緣側/貫-,1壽司刺身,手卷/壽司（菜單）,
炙燒焦糖鮭魚/貫,炙燒焦糖鮭魚/貫-,1壽司刺身,手卷/壽司（菜單）,
炙鰈魚鰭邊握/貫,炙鰈魚鰭邊握/貫-,1壽司刺身,手卷/壽司（菜單）,
星鰻握壽司/貫,星鰻握壽司/貫-,1壽司刺身,手卷/壽司（菜單）,
星鰻鮭魚卵/貫,星鰻鮭魚卵/貫-,1壽司刺身,手卷/壽司（菜單）,
海膽手捲,海膽手捲-,1壽司刺身,手卷/壽司（菜單）,
握壽司配(時價),握壽司搭配-,1壽司刺身,手卷/壽司（菜單）,
握壽司搭配,握壽司搭配-,1壽司刺身,手卷/壽司（菜單）,
焦糖鮭魚握壽司/貫,焦糖鮭魚握壽司/貫-,1壽司刺身,手卷/壽司（菜單）,
黑鮪魚大腹握壽司,黑鮪魚大腹握壽司-,1壽司刺身,手卷/壽司（菜單）,
極品十貫握壽司,極品十貫握壽司-,1壽司刺身,手卷/壽司（菜單）,
極品十貫壽司,極品十貫握壽司-,1壽司刺身,手卷/壽司（菜單）,
極品六貫壽司,極品六貫壽司-,1壽司刺身,手卷/壽司（菜單）,
十貫握壽司,極品握壽司/十貫-,1壽司刺身,手卷/壽司（菜單）,
極品握壽司/十貫,極品握壽司/十貫-,1壽司刺身,手卷/壽司（菜單）,
經典握壽司/六貫,經典握壽司/六貫-,1壽司刺身,手卷/壽司（菜單）,
豪華花壽司,豪華花壽司-,1壽司刺身,手卷/壽司（菜單）,
鮭魚卵小菜,鮭魚卵小菜-,1壽司刺身,手卷/壽司（菜單）,
鮭魚卵手卷,鮭魚卵手卷/支-,1壽司刺身,手卷/壽司（菜單）,
鮭魚卵手卷/支,鮭魚卵手卷/支-,1壽司刺身,手卷/壽司（菜單）,
鮭魚握壽司,鮭魚握壽司-,1壽司刺身,手卷/壽司（菜單）,
鮭魚握壽司/2貫,鮭魚握壽司/2貫-,1壽司刺身,手卷/壽司（菜單）,
鮮蝦蘆筍手卷,鮮蝦蘆筍手卷-,1壽司刺身,手卷/壽司（菜單）,
鮮蝦蘆筍手卷/支,鮮蝦蘆筍手卷-,1壽司刺身,手卷/壽司（菜單）,
醬煮星鰻/貫,醬煮星鰻/貫-,1壽司刺身,手卷/壽司（菜單）,
醬煮星鰻握壽司/2貫,醬煮星鰻握壽司/2貫-,1壽司刺身,手卷/壽司（菜單）,
醬煮星鰻握壽司/2貫*,醬煮星鰻握壽司/2貫-,1壽司刺身,手卷/壽司（菜單）,
醬漬鮭魚卵/貫,醬漬鮭魚卵/貫-,1壽司刺身,手卷/壽司（菜單）,
醬燒星鰻握壽司/貫,醬燒星鰻握壽司/貫-,1壽司刺身,手卷/壽司（菜單）,
鵝肝/貫,鵝肝/貫-,1壽司刺身,手卷/壽司（菜單）,
(必點)綜合刺身/九切,(必點)綜合刺身/九切-,1壽司刺身,刺身/蓋飯（菜單）,
(限量)痛風五兄弟蓋飯,(限量)痛風五兄弟蓋飯-,1壽司刺身,刺身/蓋飯（菜單）,
(限量)黑鮪魚松露海膽蓋飯,(限量)黑鮪魚松露海膽蓋飯-,1壽司刺身,刺身/蓋飯（菜單）,
(限量)黑鮪魚花見丼,(限量)黑鮪魚花見丼* ,1壽司刺身,刺身/蓋飯（菜單）,
(限量)黑鮪魚海膽花見丼,(限量)黑鮪魚海膽花見丼-,1壽司刺身,刺身/蓋飯（菜單）,
(高cp值)極品海景蓋飯,(高cp值)極品海景蓋飯- ,1壽司刺身,刺身/蓋飯（菜單）,
(高cp值)極品海景蓋飯*,(高cp值)極品海景蓋飯- ,1壽司刺身,刺身/蓋飯（菜單）,
(推薦)炙燒黑鮪魚四重奏蓋飯,(推薦)炙燒黑鮪魚四重奏蓋飯-,1壽司刺身,刺身/蓋飯（菜單）,
(推薦)黑鮪魚四重奏蓋飯,(推薦)炙燒黑鮪魚四重奏蓋飯-,1壽司刺身,刺身/蓋飯（菜單）,
(推薦)黑鮪魚四重奏蓋飯*,(推薦)炙燒黑鮪魚四重奏蓋飯-,1壽司刺身,刺身/蓋飯（菜單）,
(新品)炙燒比目魚鰭星鰻佐鮭魚卵蓋飯,(新品)炙燒比目魚鰭星鰻佐鮭魚卵蓋飯* ,1壽司刺身,刺身/蓋飯（菜單）,
(新品)炙燒比目魚鰭星鰻佐鮭魚卵蓋飯*,(新品)炙燒比目魚鰭星鰻佐鮭魚卵蓋飯* ,1壽司刺身,刺身/蓋飯（菜單）,
(新品)醬燒黑鮪魚肚蓋飯,(新品)醬燒黑鮪魚肚蓋飯-,1壽司刺身,刺身/蓋飯（菜單）,
(新品)醬燒黑鮪魚蓋飯,(新品)醬燒黑鮪魚蓋飯-,1壽司刺身,刺身/蓋飯（菜單）,
(需預訂)父親節特製六吋刺身蛋糕,(需預訂)父親節特製六吋刺身蛋糕-,1壽司刺身,刺身/蓋飯（菜單）,
(需預訂)直火烤有馬山椒鰻魚飯,(需預訂)直火烤有馬山椒鰻魚飯-,1壽司刺身,刺身/蓋飯（菜單）,
(熱銷)人氣散壽司蓋飯,(熱銷)人氣散壽司蓋飯* ,1壽司刺身,刺身/蓋飯（菜單）,
(熱銷)人氣散壽司蓋飯*,(熱銷)人氣散壽司蓋飯* ,1壽司刺身,刺身/蓋飯（菜單）,
(熱銷)比目魚鰭花見丼蓋飯,(熱銷)比目魚鰭花見丼蓋飯* ,1壽司刺身,刺身/蓋飯（菜單）,
(熱銷)比目魚鰭花見丼蓋飯*,(熱銷)比目魚鰭花見丼蓋飯* ,1壽司刺身,刺身/蓋飯（菜單）,
(熱銷)明太子比目魚緣撤-星鰻蓋飯,(熱銷)明太子比目魚緣撤-星鰻蓋飯-,1壽司刺身,刺身/蓋飯（菜單）,
(熱銷)黑鮪魚醬漬蓋飯,(熱銷)黑鮪魚醬漬蓋飯-,1壽司刺身,刺身/蓋飯（菜單）,
比目魚四色蓋飯,比目魚四色蓋飯-,1壽司刺身,刺身/蓋飯（菜單）,
(熱銷)炙燒鮭魚親子蓋飯,炙燒鮭魚親子蓋飯-,1壽司刺身,刺身/蓋飯（菜單）,
(熱銷)炙燒鮭魚親子蓋飯*,炙燒鮭魚親子蓋飯-,1壽司刺身,刺身/蓋飯（菜單）,
(熱銷)鮭魚親子蓋飯,炙燒鮭魚親子蓋飯-,1壽司刺身,刺身/蓋飯（菜單）,
炙燒鮭魚親子蓋飯,炙燒鮭魚親子蓋飯-,1壽司刺身,刺身/蓋飯（菜單）,
*炙燒鮭魚親子蓋飯,炙燒鮭魚親子蓋飯-,1壽司刺身,刺身/蓋飯（菜單）,
陶膳繽紛花見丼,陶膳繽紛花見丼-,1壽司刺身,刺身/蓋飯（菜單）,
極上刺身盛合/15切,極上刺身盛合/15切 ,1壽司刺身,刺身/蓋飯（菜單）,
極品散壽司,極品散壽司-,1壽司刺身,刺身/蓋飯（菜單）,
綜合刺身 九切,綜合刺身 九切-,1壽司刺身,刺身/蓋飯（菜單）,
綜合刺身/九切,綜合刺身 九切-,1壽司刺身,刺身/蓋飯（菜單）,
*綜合刺身9切,綜合刺身 九切-,1壽司刺身,刺身/蓋飯（菜單）,
大蛤,大蛤-,2黑板料理,季節食材/黑板菜單,
父親節刺身蛋糕(5吋),父親節刺身蛋糕(5吋)-,2黑板料理,季節食材/黑板菜單,
牛奶貝,牛奶貝-,2黑板料理,季節食材/黑板菜單,
牛肉片100克（壽喜燒）,牛肉片100克（壽喜燒）-,2黑板料理,季節食材/黑板菜單,
牛肉壽喜燒,牛肉壽喜燒-,2黑板料理,季節食材/黑板菜單,
生山葵,生山葵-,2黑板料理,季節食材/黑板菜單,
白灼藍鑽蝦,白灼藍鑽蝦-,2黑板料理,季節食材/黑板菜單,
白貝,白貝-,2黑板料理,季節食材/黑板菜單,
羊肩排,羊肩排-,2黑板料理,季節食材/黑板菜單,
羊排,羊排-,2黑板料理,季節食材/黑板菜單,
肋眼牛,肋眼牛-,2黑板料理,季節食材/黑板菜單,
孜然羊肩排,孜然羊肩排-,2黑板料理,季節食材/黑板菜單,
沙瓜子,沙瓜子-,2黑板料理,季節食材/黑板菜單,
刺身蛋糕,刺身蛋糕-,2黑板料理,季節食材/黑板菜單,
松露烘蛋,松露烘蛋-,2黑板料理,季節食材/黑板菜單,
爸氣套餐（鰻魚箱壽司+伊比利豬）,爸氣套餐（鰻魚箱壽司+伊比利豬）-,2黑板料理,季節食材/黑板菜單,
花蛤,花蛤-,2黑板料理,季節食材/黑板菜單,
青甘白子,青甘白子-,2黑板料理,季節食材/黑板菜單,
青魨唐揚,青魨唐揚-,2黑板料理,季節食材/黑板菜單,
青醬戰斧豬,青醬戰斧豬-,2黑板料理,季節食材/黑板菜單,
活中卷,活中卷-,2黑板料理,季節食材/黑板菜單,
紅酒羊煎排,紅酒羊煎排-,2黑板料理,季節食材/黑板菜單,
香箱蟹,香箱蟹-,2黑板料理,季節食材/黑板菜單,
海瓜子,海瓜子-,2黑板料理,季節食材/黑板菜單,
海螺,海螺-,2黑板料理,季節食材/黑板菜單,
烏魚腱,烏魚腱-,2黑板料理,季節食材/黑板菜單,
酒蒸咪咪卷,酒蒸咪咪卷-,2黑板料理,季節食材/黑板菜單,
乾煎白子,乾煎白子-,2黑板料理,季節食材/黑板菜單,
乾煎青干白子,乾煎青干白子,2黑板料理,季節食材/黑板菜單,
清蒸紙包魚,清蒸紙包魚-,2黑板料理,季節食材/黑板菜單,
魚頭薑汁,魚頭薑汁-,2黑板料理,季節食材/黑板菜單,
麻油烏魚膘,麻油烏魚膘-,2黑板料理,季節食材/黑板菜單,
雲蛤,雲蛤-,2黑板料理,季節食材/黑板菜單,
雲蛤薑汁,雲蛤薑汁-,2黑板料理,季節食材/黑板菜單,
楊桃豆,楊桃豆-,2黑板料理,季節食材/黑板菜單,
煙燻軟絲,煙燻軟絲-,2黑板料理,季節食材/黑板菜單,
旗魚炒蒜苗,旗魚炒蒜苗-,2黑板料理,季節食材/黑板菜單,
鳳尾螺,鳳尾螺-,2黑板料理,季節食材/黑板菜單,
蕃茄波特貝勒菇,蕃茄波特貝勒菇-,2黑板料理,季節食材/黑板菜單,
鮑魚天婦羅,鮑魚天婦羅-,2黑板料理,季節食材/黑板菜單,
鮭魚唐揚佐塔塔醬/2片,鮭魚唐揚佐塔塔醬/2片-,2黑板料理,季節食材/黑板菜單,
A5翼板和牛,A5翼板和牛-,2黑板料理,季節食材/黑板菜單,
日式炒烏龍,日式炒烏龍-,2黑板料理,炒物/黑板料理,
味噌牛筋煮,味噌牛筋煮-,2黑板料理,炒物/黑板料理,
油蔥蠑螺,油蔥蠑螺-,2黑板料理,炒物/黑板料理,
酒蒸中卷,酒蒸中卷-,2黑板料理,炒物/黑板料理,
酒蒸中捲,酒蒸中卷-,2黑板料理,炒物/黑板料理,
酒蒸中卷*,酒蒸中卷-,2黑板料理,炒物/黑板料理,
酒蒸海大蝦,酒蒸海大蝦 ,2黑板料理,炒物/黑板料理,
酒蒸蛤,酒蒸蛤蜊-,2黑板料理,炒物/黑板料理,
酒蒸蛤蜊,酒蒸蛤蜊-,2黑板料理,炒物/黑板料理,
曼波魚炒,曼波魚炒-,2黑板料理,炒物/黑板料理,
曼波魚炒蒜苗,曼波魚炒蒜苗-,2黑板料理,炒物/黑板料理,
陶板牛肉,陶板牛肉-,2黑板料理,炒物/黑板料理,
陶板牛肉*,陶板牛肉-,2黑板料理,炒物/黑板料理,
椒鹽無眼曼,椒鹽無眼鰻-,2黑板料理,炒物/黑板料理,
椒鹽無眼鰻,椒鹽無眼鰻-,2黑板料理,炒物/黑板料理,
干貝白蘆筍,干貝白蘆筍 ,2黑板料理,前菜沙拉/黑板料理,
巴伐洛,巴伐洛-,2黑板料理,前菜沙拉/黑板料理,
日本銀杏,日本銀杏-,2黑板料理,前菜沙拉/黑板料理,
木瓜螺海藻,木瓜螺海藻-,2黑板料理,前菜沙拉/黑板料理,
水雲醋,水雲醋-,2黑板料理,前菜沙拉/黑板料理,
加泰隆尼亞燉牛肚,加泰隆尼亞燉牛肚-,2黑板料理,前菜沙拉/黑板料理,
布拉塔火腿沙拉,布拉塔火腿沙拉-,2黑板料理,前菜沙拉/黑板料理,
伊比利黑標火腿(22元/1克),伊比利黑標火腿(22元/1克)-,2黑板料理,前菜沙拉/黑板料理,
伊比利黑標火腿(30克),伊比利黑標火腿(30克)-,2黑板料理,前菜沙拉/黑板料理,
冰卷,冰卷/隻-,2黑板料理,前菜沙拉/黑板料理,
合鴨沙拉,合鴨沙拉-,2黑板料理,前菜沙拉/黑板料理,
安康魚肝果醋,安康魚肝果醋-,2黑板料理,前菜沙拉/黑板料理,
米布丁,米布丁-,2黑板料理,前菜沙拉/黑板料理,
沙公馬鈴薯沙拉,沙公馬鈴薯沙拉-,2黑板料理,前菜沙拉/黑板料理,
京都湯葉,京都湯葉-,2黑板料理,前菜沙拉/黑板料理,
和牛半敲燒,和牛半敲燒-,2黑板料理,前菜沙拉/黑板料理,
松葉蟹春野菜沙拉,松葉蟹春野菜沙拉-,2黑板料理,前菜沙拉/黑板料理,
松露堅果起司,松露堅果起司-,2黑板料理,前菜沙拉/黑板料理,
芥末山藥,芥末山藥-,2黑板料理,前菜沙拉/黑板料理,
芥末章魚,芥末章魚-,2黑板料理,前菜沙拉/黑板料理,
金平蓮藕,金平蓮藕,2黑板料理,前菜沙拉/黑板料理,
厚蛋燒,厚蛋燒-,2黑板料理,前菜沙拉/黑板料理,
咪咪卷沖漬,咪咪卷沖漬-,2黑板料理,前菜沙拉/黑板料理,
哈密瓜火腿沙拉（20克）,哈密瓜火腿沙拉（20克）-,2黑板料理,前菜沙拉/黑板料理,
哈囉米起司沙拉,哈囉米起司沙拉-,2黑板料理,前菜沙拉/黑板料理,
香魚甘露煮,香魚甘露煮-,2黑板料理,前菜沙拉/黑板料理,
海膽小菜*,海膽小菜-,2黑板料理,前菜沙拉/黑板料理,
北海道海膽小菜,海膽小菜-,2黑板料理,前菜沙拉/黑板料理,
海膽小菜,海膽小菜-,2黑板料理,前菜沙拉/黑板料理,
烏魚子麻糬,烏魚子麻糬-,2黑板料理,前菜沙拉/黑板料理,
起司烏魚子（5片）,起司烏魚子（6片）-,2黑板料理,前菜沙拉/黑板料理,
起司烏魚子（6片）,起司烏魚子（6片）-,2黑板料理,前菜沙拉/黑板料理,
酒煮澳洲黑鲍,酒煮澳洲黑鲍-,2黑板料理,前菜沙拉/黑板料理,
涼筍一支,涼筍一支-,2黑板料理,前菜沙拉/黑板料理,
涼筍半支,涼筍半支-,2黑板料理,前菜沙拉/黑板料理,
春野菜凍,野菜凍-,2黑板料理,前菜沙拉/黑板料理,
野菜凍,野菜凍-,2黑板料理,前菜沙拉/黑板料理,
章魚醋,章魚醋-,2黑板料理,前菜沙拉/黑板料理,
麻辣鳳螺,麻辣鳳螺-,2黑板料理,前菜沙拉/黑板料理,
無花果豆腐醬,無花果豆腐醬-,2黑板料理,前菜沙拉/黑板料理,
黑糖米布丁(六入組),黑糖米布丁/100ml(六入組)-,2黑板料理,前菜沙拉/黑板料理,
黑糖米布丁/100ml(六入組),黑糖米布丁/100ml(六入組)-,2黑板料理,前菜沙拉/黑板料理,
黑糖米布丁/100ml(六入組)*,黑糖米布丁/100ml(六入組)-,2黑板料理,前菜沙拉/黑板料理,
黑糖米布丁(四入組),黑糖米布丁/100ml(六入組)-,2黑板料理,前菜沙拉/黑板料理,
黑糖米布丁/100ml(四入組),黑糖米布丁/100ml(六入組)-,2黑板料理,前菜沙拉/黑板料理,
黑糖米布丁/100ml(四入組)*,黑糖米布丁/100ml(六入組)-,2黑板料理,前菜沙拉/黑板料理,
義式生牛肉,義式生牛肉-,2黑板料理,前菜沙拉/黑板料理,
旗魚肚果醋,旗魚肚果醋-,2黑板料理,前菜沙拉/黑板料理,
辣味螺肉,辣味螺肉-,2黑板料理,前菜沙拉/黑板料理,
辣松露雞肝法棍,辣松露雞肝法棍-,2黑板料理,前菜沙拉/黑板料理,
魟魚翅,魟魚翅-,2黑板料理,前菜沙拉/黑板料理,
鳳螺佃煮,鳳螺佃煮-,2黑板料理,前菜沙拉/黑板料理,
熱布里起司沙拉,熱布里起司沙拉-,2黑板料理,前菜沙拉/黑板料理,
糖心烏魚子,糖心烏魚子-,2黑板料理,前菜沙拉/黑板料理,
鮑魚佃煮,鮑魚佃煮-,2黑板料理,前菜沙拉/黑板料理,
鮑魚佃煮/顆,鮑魚佃煮-,2黑板料理,前菜沙拉/黑板料理,
臘腸無花果沙拉,臘腸無花果沙拉-,2黑板料理,前菜沙拉/黑板料理,
藤壺,藤壺 ,2黑板料理,前菜沙拉/黑板料理,
櫻煮章魚,櫻煮章魚-,2黑板料理,前菜沙拉/黑板料理,
鱈魚白子果醋,鱈魚白子果醋-,2黑板料理,前菜沙拉/黑板料理,
鱈場蟹馬鈴薯沙拉,鱈場蟹馬鈴薯沙拉-,2黑板料理,前菜沙拉/黑板料理,
(推薦)青干下巴,(推薦)青干下巴-,2黑板料理,烤物/黑板料理,
土雞翅/串,土雞翅/串-,2黑板料理,烤物/黑板料理,
中卷雲丹燒,中卷雲丹燒-,2黑板料理,烤物/黑板料理,
牛肉可頌,牛肉可頌-,2黑板料理,烤物/黑板料理,
牛肉串/串,牛肉串/串-,2黑板料理,烤物/黑板料理,
牛肉葡萄串,牛肉葡萄串-,2黑板料理,烤物/黑板料理,
牛舌,牛舌-,2黑板料理,烤物/黑板料理,
玉米筍/5支,玉米筍/5支-,2黑板料理,烤物/黑板料理,
玉米筍/四支,玉米筍/四支-,2黑板料理,烤物/黑板料理,
伊比利豬,伊比利豬-,2黑板料理,烤物/黑板料理,
尖梭一夜干,尖梭一夜干-,2黑板料理,烤物/黑板料理,
竹地雞,竹地雞-,2黑板料理,烤物/黑板料理,
羊小排,羊小排-,2黑板料理,烤物/黑板料理,
味噌大腸燒/串,味噌大腸燒/串-,2黑板料理,烤物/黑板料理,
和牛串,和牛串-,2黑板料理,烤物/黑板料理,
松露薯條,松露薯條-,2黑板料理,烤物/黑板料理,
虱目魚胗/串,虱目魚胗/串-,2黑板料理,烤物/黑板料理,
洋蘑菇,洋蘑菇-,2黑板料理,烤物/黑板料理,
活殺星鰻,活殺星鰻-,2黑板料理,烤物/黑板料理,
茄子串/串,茄子串/串-,2黑板料理,烤物/黑板料理,
香煎羊排/2支,香煎羊排/2支-,2黑板料理,烤物/黑板料理,
香煎羊排/四支,香煎羊排/四支-,2黑板料理,烤物/黑板料理,
剝皮辣椒牛肉串,剝皮辣椒牛肉串-,2黑板料理,烤物/黑板料理,
紐約克/300克,紐約克/300克-,2黑板料理,烤物/黑板料理,
培根泡菜起司串/串,培根泡菜起司串/串-,2黑板料理,烤物/黑板料理,
培根葡萄串,培根葡萄串-,2黑板料理,烤物/黑板料理,
培根銀卷串/串,培根銀卷串/串-,2黑板料理,烤物/黑板料理,
帶骨牛小排,帶骨牛小排-,2黑板料理,烤物/黑板料理,
焗烤竹筍/支,焗烤竹筍/支-,2黑板料理,烤物/黑板料理,
焗烤竹筍/支*,焗烤竹筍/支-,2黑板料理,烤物/黑板料理,
焗烤竹筍一支,焗烤竹筍/支-,2黑板料理,烤物/黑板料理,
焗烤竹筍半支,焗烤竹筍半支-,2黑板料理,烤物/黑板料理,
軟絲頭,軟絲頭-,2黑板料理,烤物/黑板料理,
陶膳鹹豬肉,陶膳鹹豬肉-,2黑板料理,烤物/黑板料理,
麻辣雞心/串,麻辣雞心/串-,2黑板料理,烤物/黑板料理,
湯葉田樂串,湯葉田樂串-,2黑板料理,烤物/黑板料理,
番茄培根/串,番茄培根/串-,2黑板料理,烤物/黑板料理,
番茄培根兩串,番茄培根兩串-,2黑板料理,烤物/黑板料理,
絲瓜串/串,絲瓜串/串-,2黑板料理,烤物/黑板料理,
奧勒岡牛小排,奧勒岡牛小排-,2黑板料理,烤物/黑板料理,
奧勒岡牛小排/160克,奧勒岡牛小排/160克-,2黑板料理,烤物/黑板料理,
奧勒岡牛小排/160克(老饕上蓋）,奧勒岡牛小排/160克(老饕上蓋)-,2黑板料理,烤物/黑板料理,
奧勒岡牛小排/160克(老饕上蓋),奧勒岡牛小排/160克(老饕上蓋)-,2黑板料理,烤物/黑板料理,
奧勒岡牛小排/160克(Prime肋眼心）,奧勒岡牛小排/160克(肋眼心)-,2黑板料理,烤物/黑板料理,
奧勒岡牛小排/160克(肋眼心),奧勒岡牛小排/160克(肋眼心)-,2黑板料理,烤物/黑板料理,
奧勒岡牛小排/160克(Prime),奧勒岡牛小排/160克(Prime)-,2黑板料理,烤物/黑板料理,
奧勒岡牛小排/160克(Prime)*,奧勒岡牛小排/160克(Prime)-,2黑板料理,烤物/黑板料理,
照燒雞心/串,照燒雞心/串-,2黑板料理,烤物/黑板料理,
旗魚柚庵燒,旗魚柚庵燒-,2黑板料理,烤物/黑板料理,
碳烤中卷佐紅椒堅果醬,碳烤中卷佐紅椒堅果醬-,2黑板料理,烤物/黑板料理,
腐竹田樂串,腐竹田樂串-,2黑板料理,烤物/黑板料理,
墨魚花枝/串,墨魚花枝/串-,2黑板料理,烤物/黑板料理,
蕃茄培根/串,蕃茄培根/串-,2黑板料理,烤物/黑板料理,
雞佛,雞佛-,2黑板料理,烤物/黑板料理,
雞橫隔膜,雞橫隔膜-,2黑板料理,烤物/黑板料理,
蘋果絲瓜串/串,蘋果絲瓜串/串-,2黑板料理,烤物/黑板料理,
土雞翅/1串,鹽烤土雞翅/隻-,2黑板料理,烤物/黑板料理,
鹽烤土雞翅/隻,鹽烤土雞翅/隻-,2黑板料理,烤物/黑板料理,
鹽烤大虎蝦,鹽烤大虎蝦-,2黑板料理,烤物/黑板料理,
鹽烤中卷,鹽烤中卷-,2黑板料理,烤物/黑板料理,
鹽烤牛肉串/串,鹽烤牛肉串/串-,2黑板料理,烤物/黑板料理,
鹽烤海蝦,鹽烤海蝦-,2黑板料理,烤物/黑板料理,
(現撈野生)鹽烤馬頭魚/1.3斤重,(現撈野生)鹽烤馬頭魚/1.3斤重-,2黑板料理,魚類,
八角魚,八角魚-,2黑板料理,魚類,
三牙,三牙-,2黑板料理,魚類,
土魠（時價）,土魠（時價）-,2黑板料理,魚類,
小黑鮪/貫,小黑鮪/貫-,2黑板料理,魚類,
毛蟹,毛蟹-,2黑板料理,魚類,
打鐵婆(時價),打鐵婆(時價) ,2黑板料理,魚類,
白子(魚膘),白子(魚膘)-,2黑板料理,魚類,
白帶魚,白帶魚-,2黑板料理,魚類,
白鯧魚,白鯧魚 ,2黑板料理,魚類,
白蘆筍,白蘆筍-,2黑板料理,魚類,
石佬,石佬-,2黑板料理,魚類,
石鱸(時價),石鱸(時價)-,2黑板料理,魚類,
地震魚(時價),地震魚(時價)-,2黑板料理,魚類,
尖梭,尖梭-,2黑板料理,魚類,
肉甘魚（時價）,肉甘魚（時價）-,2黑板料理,魚類,
吳仔魚(時價),吳仔魚(時價)-,2黑板料理,魚類,
吻仔魚,吻仔魚-,2黑板料理,魚類,
豆仔魚（時價）,豆仔魚（時價）-,2黑板料理,魚類,
赤羽太（時價）,赤羽太（時價）-,2黑板料理,魚類,
赤章(時價),赤章(時價)-,2黑板料理,魚類,
那各魚,那各魚-,2黑板料理,魚類,
季節時鮮魚(時價),季節時鮮魚(時價)-,2黑板料理,魚類,
松本茸/顆,松本茸/顆-,2黑板料理,魚類,
松葉蟹,松葉蟹-,2黑板料理,魚類,
河豚白子,河豚白子-,2黑板料理,魚類,
花加志（時價）,花加志（時價）-,2黑板料理,魚類,
花身魚,花身魚-,2黑板料理,魚類,
花魚(時價),花魚(時價)-,2黑板料理,魚類,
金鈴（時價）,金鈴（時價）-,2黑板料理,魚類,
金龍魚,金龍魚-,2黑板料理,魚類,
金鯧,金鯧-,2黑板料理,魚類,
厚岸生蠔,厚岸生蠔-,2黑板料理,魚類,
柑仔魚,柑仔魚-,2黑板料理,魚類,
活殺比目魚/生,活殺比目魚/生-,2黑板料理,魚類,
活龍蝦(時價),活龍蝦(時價)-,2黑板料理,魚類,
玳瑁石斑,玳瑁石斑-,2黑板料理,魚類,
秋刀魚(時價),秋刀魚(時價)-,2黑板料理,魚類,
秋菇,秋菇-,2黑板料理,魚類,
紅九繪,紅九繪-,2黑板料理,魚類,
紅衫,紅衫-,2黑板料理,魚類,
紅條,紅條-,2黑板料理,魚類,
紅條,紅條-,2黑板料理,魚類,
紅喉（時價）,紅喉（時價） ,2黑板料理,魚類,
紅嘴鯛,紅嘴鯛-,2黑板料理,魚類,
飛魚,飛魚-,2黑板料理,魚類,
馬頭魚(時價),馬頭魚(時價)-,2黑板料理,魚類,
馬頭,馬頭魚(時價)-,2黑板料理,魚類,
曼波魚,曼波魚-,2黑板料理,魚類,
清蒸肉干魚（時價）,清蒸肉干魚（時價）-,2黑板料理,魚類,
清蒸肉甘魚（時價）,清蒸肉甘魚（時價）-,2黑板料理,魚類,
清蒸活小卷,清蒸活小卷 ,2黑板料理,魚類,
清蒸皇帝斑(時價),清蒸皇帝斑(時價)-,2黑板料理,魚類,
清蒸銀鮫（時價）,清蒸銀鮫（時價）-,2黑板料理,魚類,
喜知次,喜知次 ,2黑板料理,魚類,
斑頭魚,斑頭魚-,2黑板料理,魚類,
斑頭魚(時價),斑頭魚(時價)-,2黑板料理,魚類,
椒鹽劍蝦,椒鹽劍蝦-,2黑板料理,魚類,
無花果,無花果-,2黑板料理,魚類,
無眼鰻,無眼鰻-,2黑板料理,魚類,
黃魚,黃魚-,2黑板料理,魚類,
